"yearmonth","district","people","field1","field2","field3","field4","field5","field6","field7","field8","field9"
"103年1月","板橋區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"103年1月","板橋區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","三重區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"103年1月","三重區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"103年1月","中和區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","中和區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","永和區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","永和區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","新莊區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"103年1月","新莊區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","林口區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0"
"103年1月","林口區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","泰山區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","泰山區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","新店區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"103年1月","新店區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","坪林區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"103年1月","坪林區","受傷人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103年1月","烏來區","死亡人數","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
