"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","Field28","Field29","Field30","Field31","Field32","Field33","Field34","Field35","Field36","Field37","Field38","Field39","Field40","Field41","Field42","Field43","Field44","Field45","Field46","Field47","Field48","Field49","Field50","Field51","Field52","Field53","Field54"
"1998","新北市","267164","...","...","6569","...","64023","...","...","...","3281","...","1954","0","77667","111345","2312","13","253250","...","...","1560","...","65846","...","...","...","3165","...","1273","0","69857","111281","26","242","141945","141945","39617","20432","19185","11.52","14442","9233","5209","4.2","7.32","118.92","114.88","4.04","23463","6.82","7722","2.2400000000000002"
"1998","板橋區","35072","...","...","841","...","6380","...","...","...","445","...","347","0","10874","15922","263","0","37316","...","...","166","...","7254","...","...","...","435","...","173","0","10274","19008","5","1","18277","18277","5086","2649","2437","9.7799999999999994","2015","1314","701","3.88","5.91","102.62","106.94","-4.32","3177","6.11","1123","2.16"
"1998","三重區","27514","...","...","537","...","6711","...","...","...","322","...","73","0","8020","11696","154","1","29807","...","...","38","...","7399","...","...","...","302","...","78","0","6871","15046","1","72","16663","16663","4104","2138","1966","10.84","1642","1022","620","4.34","6.5","116.69","122.75","-6.06","2439","6.44","863","2.2799999999999998"
"1998","中和區","30650","...","...","928","...","6546","...","...","...","392","...","474","0","7278","14554","476","2","30948","...","...","334","...","7186","...","...","...","419","...","334","0","6848","15801","5","21","12041","12041","4091","2037","2054","10.57","1531","994","537","3.96","6.61","110.3","111.07","-0.77","2723","7.04","844","2.1800000000000002"
"1998","永和區","16677","...","...","1072","...","4206","...","...","...","278","...","194","0","3701","7038","187","1","19006","...","...","239","...","5678","...","...","...","299","...","146","0","3707","8920","1","16","8679","8679","1994","1039","955","8.73","901","566","335","3.95","4.79","111.07","121.27","-10.199999999999999","1406","6.16","513","2.25"
"1998","新莊區","23372","...","...","414","...","3750","...","...","...","266","...","128","0","9268","9327","212","7","20920","...","...","197","...","3934","...","...","...","307","...","85","0","8088","8286","1","22","18257","18257","4049","2065","1984","11.35","1012","664","348","2.84","8.52","116.73","109.86","6.88","2115","5.93","811","2.27"
"1998","新店區","19928","...","...","1150","...","7803","...","...","...","309","...","139","0","4412","5878","236","1","19490","...","...","432","...","9022","...","...","...","317","...","102","0","4065","5491","3","58","12370","12370","2701","1396","1305","10.38","1281","830","451","4.93","5.46","124.18","122.49","1.68","1892","7.27","596","2.29"
"1998","樹林區","10241","...","...","141","...","921","...","...","...","92","...","61","0","3914","5013","99","0","9088","...","...","18","...","1023","...","...","...","89","...","31","0","3393","4529","1","4","5608","5608","1911","1010","901","13.11","559","354","205","3.83","9.27","108.69","100.78","7.91","971","6.66","318","2.1800000000000002"
"1998","鶯歌區","5846","...","...","52","...","503","...","...","...","68","...","57","0","3060","2071","35","0","4415","...","...","6","...","357","...","...","...","55","...","35","0","2874","1086","0","2","4703","4703","1015","535","480","13.37","363","223","140","4.78","8.59","138.97999999999999","120.13","18.850000000000001","526","6.93","163","2.15"
"1998","三峽區","5541","...","...","69","...","664","...","...","...","73","...","26","0","1697","2989","23","0","4274","...","...","50","...","633","...","...","...","54","...","18","0","1419","2096","1","3","4068","4068","1246","638","608","16.03","439","309","130","5.65","10.38","123.62","107.32","16.3","569","7.32","205","2.64"
"1998","淡水區","8742","...","...","260","...","4118","...","...","...","124","...","34","0","1924","2243","39","0","6954","...","...","12","...","3432","...","...","...","96","...","11","0","1393","2008","1","1","4989","4989","1401","709","692","13.08","502","294","208","4.6900000000000004","8.39","128.18","111.49","16.690000000000001","903","8.43","242","2.2599999999999998"
"1998","汐止區","17247","...","...","290","...","9692","...","...","...","205","...","36","0","4335","2595","94","0","12538","...","...","27","...","7226","...","...","...","151","...","33","0","3283","1812","1","5","5996","5996","2008","1029","979","13.9","680","406","274","4.71","9.19","160.86000000000001","128.27000000000001","32.590000000000003","1320","9.14","381","2.64"
"1998","瑞芳區","2933","...","...","31","...","354","...","...","...","19","...","4","0","1497","1002","26","0","4197","...","...","3","...","522","...","...","...","38","...","6","0","2320","1306","1","1","1538","1538","606","308","298","12.23","404","255","149","8.15","4.08","90.22","115.73","-25.51","368","7.43","93","1.88"
"1998","土城區","18153","...","...","237","...","2286","...","...","...","240","...","265","0","5358","9518","249","0","13755","...","...","12","...","2128","...","...","...","209","...","150","0","4313","6934","5","4","7340","7340","2889","1473","1416","13.35","663","432","231","3.06","10.28","117.76","97.45","20.32","1504","6.95","577","2.67"
"1998","蘆洲區","13389","...","...","165","...","3175","...","...","...","140","...","50","0","3713","6077","69","0","11311","...","...","1","...","2831","...","...","...","113","...","17","0","3063","5286","0","0","8136","8136","1907","1001","906","12.37","526","320","206","3.41","8.9600000000000009","139.66999999999999","126.19","13.48","1008","6.54","358","2.3199999999999998"
"1998","五股區","6825","...","...","105","...","1126","...","...","...","58","...","15","0","1690","3786","45","0","5196","...","...","0","...","1064","...","...","...","67","...","10","0","1261","2779","0","15","3847","3847","928","474","454","14.32","264","181","83","4.07","10.25","164.71","139.57","25.14","483","7.45","150","2.3199999999999998"
"1998","泰山區","4106","...","...","74","...","465","...","...","...","50","...","14","0","1363","2111","29","0","3961","...","...","7","...","639","...","...","...","46","...","14","0","1271","1983","0","1","1613","1613","734","379","355","12.01","196","119","77","3.21","8.8000000000000007","93.59","91.22","2.37","391","6.4","111","1.82"
