"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12"
"1998","新北市","2053","1001","20276","1062767","3459624","1751279","1708345","3.26","1686","103"
"1998","板橋區","23","126","2317","153795","520286","262930","257356","3.38","22465","102"
"1998","三重區","16","119","2369","112393","378671","191434","187237","3.37","23203","102"
"1998","中和區","20","93","2410","123948","388174","195848","192326","3.13","19274","102"
"1998","永和區","6","62","1249","76364","227673","111929","115744","2.98","39873","97"
"1998","新莊區","20","84","1792","104275","359367","179765","179602","3.45","18205","100"
"1998","新店區","120","67","1387","90491","261024","131040","129984","2.88","2171","101"
"1998","樹林區","33","42","879","41850","147071","75211","71860","3.51","4439","105"
"1998","鶯歌區","21","20","390","20187","76944","39457","37487","3.81","3643","105"
"1998","三峽區","191","26","485","21694","78770","41337","37433","3.63","411","110"
"1998","淡水區","71","33","562","35568","108467","54661","53806","3.05","1535","102"
"1998","汐止區","71","46","1080","53693","147507","74314","73193","2.75","2071","102"
"1998","瑞芳區","71","34","426","14689","49023","25671","23352","3.34","693","110"
"1998","土城區","30","40","1143","67615","219793","111420","108373","3.25","7443","103"
"1998","蘆洲區","7","38","682","44229","155843","78119","77724","3.52","20947","101"
"1998","五股區","35","19","461","20218","65940","33972","31968","3.26","1892","106"
"1998","泰山區","19","15","432","17358","61446","31137","30309","3.54","3207","103"
"1998","林口區","54","14","319","13913","48442","24793","23649","3.48","895","105"
"1998","深坑區","21","8","197","6560","19440","10050","9390","2.96","945","107"
"1998","石碇區","144","12","109","2686","7443","4253","3190","2.77","52","133"
"1998","坪林區","171","7","78","2065","6069","3496","2573","2.94","36","136"
"1998","三芝區","66","13","243","6816","22068","11659","10409","3.24","334","112"
"1998","石門區","51","9","124","2875","10265","5675","4590","3.57","200","124"
"1998","八里區","39","10","164","7580","26294","13558","12736","3.47","666","106"
"1998","平溪區","71","12","120","2118","6227","3444","2783","2.94","87","124"
"1998","雙溪區","146","12","244","3383","10446","5695","4751","3.09","71","120"
